Lithic ID,TA,Main,,,,Metrics,,,,,,,Implement Description,,,,,,,,,,,,,,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number,Sketch Number
,,Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,,,,,,,
1239,3,,,,,,16,6.5,2,2.6,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1234,3,,,,,,26.5,8.8,2.1,2.5,,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1392,3,,,,,,20,6.6,2,,,,,,1,,,,,,,,,,BLADELET-MID,,,,,,,,
1231,3,,,,,,19.5,5,1.4,,,,,,1,,,,,,,,,,BLADELET-MID,,,,,,,,
1268,3,,,,,,23,10.7,2.9,3.1,5.8,1.3,,,,,1,INVERSE,RIGHT,PARTIAL,SHORT,LOW,SUBPARALLEL,,BLADELET-PRO,,,LINEAR,,,,,
1332,3,,,,,,32,10.4,2.8,,,,,,1,,,,,,,,,,BLADELET-DIS,,,,,,,,
1246,3,,,,,,36.3,12.7,1,2,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1310,3,,,,,,22.5,12.6,3,,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1265,3,,,,,,23.7,6,1,,,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1245,3,,,,,,14,7.5,1.5,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,,
1210,3,,,,,,31,10,2,2.5,4.1,0.9,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1214,3,,,,,,21,6.7,1.9,,,,,,1,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1389,3,,,,,,18,6.3,1.8,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,,
1326,3,,,,,,16,10.2,2.4,2.5,,,,,1,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1369,3,,,,,,31.1,10.2,2.2,2.7,4.3,0.9,,,,,,,,,,,,,BLADELET,,,DIHEDRAL,,,,,
1380,3,,,,,,33.4,7.6,1.6,,,,,,1,,1,DIRECT,RIGHT,PARTIAL,SHORT,LOW,SUBPARALLEL,,BLADELET-PRO,,,PUNCTIFORM,,,,BURNT,
1422,3,,,,,,22.6,9.4,2.9,,,,,,1,,,,,,,,,,BLADELET.PRO,,,REMOVED,,,,,
1187,3,,,,,,20,8.5,1.7,,,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,FOSSIL,
1212,3,,,,,,26,11,2.3,6.7,2.4,,,,1,,,,,,,,,,BLADELET-PRO,,,PLAIN,,,,,
1281,3,,,,,,28,12.6,2.9,2.8,1.7,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1267,3,,,,,,31.4,10.6,2.9,3.4,,,,,1,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1250,3,,,,,,26.4,9.7,3.2,0.8,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1314,3,,,,,,30,9,2.9,4.3,1.8,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1418,3,,,,,,27.8,10,1.8,2.1,,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1379,3,,,,,,29.5,5.3,1.7,,,,,,1,,,,,,,,,,BLADELET,,,LINEAR,,,,,
1342,3,,,,,,23,8,1.2,1.5,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1222,3,,,,,,23,7,2.7,,,,,,1,,,,,,,,,,BLADELET-PRO,,,INDENT,,,,,
1425,3,,,,,,14.7,6.2,1.9,,,,,,,,1,INVERSE,DISTAL,CONTINOUS,LONG,LOW,SUBPARALLEL,,BLADELET-DIS,,,,,,,,
1244,3,,,,,,20.6,7.5,1.6,1.7,3.9,1,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1360,3,,,,,,23.8,8.4,1.3,,,,,,,,,,,,,,,,BLADELET-PRO,,,CRUSHED,,,,,
*1233,3,,,,,,16.7,9.2,2.4,,,,,MICRO BURIN,1,,1,DIRECT,,,,,,,BLADELET-MID,,,,,,,,
1195,3,,,,10,,17.6,11.5,3,3.3,5,1.5,,,,,,,,,,,,,BLDELET-PRO,,,PLAIN,,,,,
1439,3,,,,,,31.8,13.3,3.1,3.3,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,FOSSIL,
1428,3,,,,,,32.7,6.7,2.3,,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1447,3,,,,,,28,11.3,2.6,,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1441,3,,,,,,28,5.1,1.4,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,,
1443,3,,,,,,13.5,10.5,2.2,,7.4,2,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1452,3,,,,,,19.8,9,2.5,,,,,,,,,,,,,,,,BLADELET-DIS,,,,,,,,
1427,3,,,,,,20.6,9.5,2.5,2.7,,,,,1,,,,,,,,,,BLADELET-MID,,,PUNCTIFORM,,,,,
1426,3,,,,,,49,12.2,3.8,,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1465,3,,,,,,15.5,6.9,1.9,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,,
1429,3,,,,,,27.4,9.3,2.4,,4.2,2,,,,,,,,,,,,,BLADELET-PRO,,,PLAIN,,,,,
1469,3,,,,,,17.3,7.9,1.5,2,,,,,1,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,BURNT,
1461,3,,,,,,10.3,6.9,1,,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1432,3,,,,,,14.6,9,2.1,2.4,6.5,1.2,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1468,3,,,,,,23.3,8,1.2,1.4,,,,,,,,,,,,,,,BLADLET,,,LINEAR,,,,,
1462,3,,,,,,11,7,1.8,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,THERMINAL EFFECT,
1437,3,,,,,,37.2,10.2,2.9,3.1,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1438,3,,,,,,27.4,6.2,1.7,1.9,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1443,3,,,,,,17.9,12,2.4,,,,,,,,,,,,,,,,BLADELET-MID,1,,,,,,,
1464,3,,,,,,17.7,10.1,2.4,2.6,6,0.8,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1455,3,,,,,,20.6,6.2,1.7,,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1445,3,,,,,,34.2,9.5,2,,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1460,3,,,,,,17.3,7.3,2.1,,4.2,1.1,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1433,3,,,,,,26.8,7.6,2.3,,,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
1466,3,,,,,,14.1,8.7,1.7,,,,,,,,,,,,,,,,BLADELET-MID,,,,,,,,
1459,3,,,,,,23.9,7.2,2.1,2.5,,,,,,,,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
1467,3,,,,,,28.6,6.1,2,3.2,0.9,,,,,,,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
954,72,,,,,,60,31.7,,,,,,BLADELET CORE,,,,,,,,,,,,,,,BLADELET,,PRESSUR FLAT,REJUVENTED,
953,72,,,,,,49.4,19.5,,,,,,BLADELET CORE FRAGMENT,,,,,,,,,,,,,,,BLADELET,,PRESSUR PYRAMID,REMOVED WITH DIRECT PERCUSSIN,
952,72,,,,,,28,32,,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSUR PYRAMID,,
950,72,,,,,,32,42,,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSUR PYRAMID,,
949,72,,,,,,25,21,,,,,,,,,,,,,,,,,,,,,BLADLET,,PRESSURE PYRAMID,,
247,72,,,,,,37,23.7,19,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSURE CYLINDER,,
1172,3,,,,10,,70,32.5,10.6,,20.6,6.6,,scraper,1,,,,,,,,,,FLAKE,,,PLAIN,,,,,
1168,3,,,,15,,71,30,12,,,,,,,,,,,,,,,,,,7,,BLADELET,,PRESSURE FLAT,,
1161,3,,,,,,41,37.5,34,,,,,,,,,,,,,,,,,,16,,BLADELET,,PRESSURE PYRAMID,,
1153,3,,,,,,28.8,14,,,,,,,,,,,,,,,,,,,14,,BLADELET,,PRESSURE BULLET,EXHUASTED,
1179,3,,,,,,22.5,11,7.4,,,,,rejuvention face flake,,,,,,,,,,,,,,,,,,,
1180,3,,,,,,7.2,2.4,,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSURE CYLINDER,,
1165,3,,,,,,20,11,,,,,,,,,,,,,,,,,,,9,,BLADELET,,PRESSURE PYRAMID,,
1160,,,,,,,80,30,,,,,,CORE PREPERATION FLAKE,,,,,,,,,,,FLAKE,,,,,,,,
1167,,,,,45,,36,30,23,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSURE PYRAMID ,,
1174,,,,,,,40,17.4,8.9,9.3,13,7,,CORE REJUVENTION FLAKE,,,,,,,,,,,BLADE,,,PLAIN,,,,,
1162,,,,,,,54,32.6,,,,,,CORE FRAGMENT,,,,,,,,,,,,,,,BLADELET,,,,
1170,,,,,,,51,35,13.4,16,,,,CORE REJUVENTION FLAKE,,,,,,,,,,,FLAKE,,,PUNCTIFORM,,,,,
1178,,,,,,,37,23,17,,,,,,,,,,,,,,,,,,,,,,EXHAUSTED CORE,,
1181,,,,,,,23.5,14,,,,,,,,,,,,,,,,,,,,,BLADELET,,PRESSURE PYRAMID,BROKEN,
1177,,,,,40,,36,41,21,,,,,UN FINISHED  PYRAMID CORE,,,,,,,,,,,,,,,,,,FOSSIL,
1152,,,,,,,20,34,25,,,,,CORE REJUVENTION ,,,,,,,,,,,,,,,BLADELET CORE,,,,
1159,,,,,,,12.5,24,15,,,,, BLADELETCORE TABLET,,,,,,,,,,,,,,,,,,,
1153,,,,,,,11.8,28,,,,,,BLADELET CORE REJUVENTION,,,,,,,,,,,,,,,,,,,
1157,,,,,5,,20,45,,,,,,CORE REJUVENTION ,,,,,,,,,,,,,,,,,,,
1148,,,,,,,17,32,,,,,,CORE REJUVENTION ,,,,,,,,,,,,,,,,,,,
1150,,,,,,,20.4,10.7,6,,,,,DEBRI,,,,,,,,,,,,,,,,,,,
1151,,,,,,,14,11,2.6,,,,,DEBRI,,,,,,,,,,,,,,,,,,,
1155,,,,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,,,,13,15,2.4,3.4,,,,DEBITAGE,,,,,,,,,,,,,,,,,,,
1156,,,,,,,4.5,14.7,11.2,,,,,BLADELET CORE  REJUVENTION,,,,,,,,,,,,,,,,,,,
1761,tp1/01,,,,,,36,11.4,3.4,,,,,inverse  serrated scraper,,,1,inverse,mesial,continous,,,scaled,,bladelet-mid,1,,0,,,,,
1767,,,,,25,,50,13,6.3,,,,,backed knife,1,,,,,,,,,,blade-mid,,,,,,,,
1738,,,,,,,61,10,3.2,,,,,inverse denticulate,,1,,inverse,left,partial,,,,,bladelet,,,plain,,,,adhesive.lip,
1772,,,,,,,40.6,8.4,2.4,,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,lip,
1800,,,,,,,25,10,2,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1778,,,,,,,20,2.6,1.8,,,,1,,1,,,,,,,,,,bladelet-pro,,,plain,,,,,
1781,,,,,,,22.8,7.3,4.3,,,,,,1,,,,,,,,,,bladelet-mid,,,,,,,,
1810,,,,,,,20,10.5,2.3,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,fossil,
1809,,,,,,,35,8.6,2,2.2,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1783,,,,,,,35.5,6.9,2,,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1721,,,,,,,22,10.9,2.6,,,,,,1,,,,,,,,,,bladelet-mid,,,,,,,,
1785,,,,,,,24,8.8,2.3,,,,,,1,1,,,,,,,,,bladelet-mid,,,,,,,,
1819,,,,,,,20.7,12.2,3,,,,,,1,,,,,,,,,,bladelet-mid,,,,,,,,
1753,,,,,,,32,12,2.7,,,,,,1,,1,inverse,right,duscontinous,short,low,scaled,,bladelet-pro,,,linear,,,,fossil,
1820,,,,,,,21.4,7.4,1.9,2.1,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,,
1816,,,,,,,16.4,9,1.5,,,,,,1,,,,,,,,,,bladelet-mid,,,,,,,,
1742,,,,,,,21,13.2,3.9,,,,,,1,,,inverse,mesial,continous,short,low,sub-parallel,,bladelet-mid,,,,,,,,
1786,,,,,,,10.9,6.7,1.3,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1830,,,,,,,13.3,10,1.9,,,,,,1,,1,inverse,mesial,discontinous,short,low,sub-parallel,,bladelet-mid,,,,,,,,
1806,,,,,,,17.4,9,1.4,1.6,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1776,,,,,,,45,10.5,3.2,3.4,,,,,1,,1,inverse,left,partial,short,low,sub-parallel,,bladelet-pro,,,punctiform,,,,,
1825,,,,,,,48,12,5,,,,,,,,1,direct,mesial,continous,short,low,sub-parallel,,blade-dis,,,,,,,core fragment,
1732,,,,,,,47,11,6.4,,,,,,1,,,,,,,,,,blelt-mid,,,,,,,,
1735,,,,,,,44,5,3,,5,1.6,,,1,,,,,,,,,,bladelet-pro,,,plain,,,,,
1740,,,,,,,32.3,11.5,3,3.5,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1790,,,,,,,18,11.9,2.4,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1796,,,,,,,26,10.3,2,2.6,,,,,,,1,direct,mesial,continous,short,low,sub-parallel,,bladelet-pro,,,punctiform,,,,lip,
1777,,,,,,,43,9.5,2.6,,,,,,1,,1,inverse,left,discontinous,short,low,sub-parallel,,bladelet-pro,,,linear,,,,,
1771,,,,,,,17.2,9.3,3.3,,,,,,,,,,,,,,,,bladelet-pro,,,faceted,,,,,
1754,,,,,25,,22,9.4,3.6,,,,,backed knife,1,,,,,,,,,,blade-mid,,,,,,,,
1799,,,,,,,24,9.2,2.4,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1752,,,,,,,19,9.2,4.5,,,,,,,1,,,,,,,,,bladelet-dis,,,,,,,,
1795,,,,,,,28.2,9.3,2.6,,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1798,,,,,,,31,8,1.6,,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,,
1867,,,,,,,22.7,10.4,3,4,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1789,,,,,,,22.6,11.2,2.8,,,,,,1,,,,,,,,,1,bladelet-mid,,,,,,,,
1759,,,,,,,26.7,12.4,2.7,3,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,lip,
1774,,,,,,,13.5,13.8,2.5,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1766,,,,,,,21,18,5.1,5.9,,,,,,,,,,,,,,,flake-pro,,,plain,,,,,
1743,,,,,,,41,10,3.2,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1768,,,,,,,35.4,7.8,1.6,,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,,
1725,,,,,,,25,9.2,2,2.3,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1765,,,,,,,20,10.5,2.4,2.7,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1817,,,,,,,37,11,3.2,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1827,,,,,,,22,16.8,4,,,,,,,,1,direct,?,partial,short,semi-abrupt,,,flake-mid,,,,,,,,
1722,,,,,,,34,27,10.8,,,,,core tablet,,,,,,,,,,,flake,,,,,,,,
1725,,,,,,,37,38,9,10.2,,,,,,,,,,,,,,,flake,,,plain,,,,,
1733,,,,,40,,39,35,5.5,,,,,,,,,,,,,,,,flake,,,plain,,,,fossil,
1734,,,,,35,,38,24,7.8,,,,,,,,,,,,,,,,flake,,,cortical,,,,,
1797,,,,,,,22,12,2.5,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1782,,,,,,,43,11.3,2.8,,,,,,1,,,,,,,,,,bladelet-mid,,,,,,,,
1736,,,,,,,37,13.7,4.3,3.7,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1730,,,,,,,40,22,9.5,,,,,,1,,1,inverse,mesial,discontinous,long,low,sub-parallel,,bladelet-mid,,,,,,,,
1792,,,,,,,24,9.5,1.9,2.2,,,,,,,,,,,,,,,bladelet,,,,,,,,
1746,,,,,,,28.2,7.8,3,3.2,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,,
1755,,,,,5,,23,26,4.5,,,,,core preparation,1,,,,,,,,,,flake,,,,,,,,
1731,,,,,,,34,33,14,,,,,,,,1,direct,distal,continous,short,low,sub-parallel,,flake,,,indent,,,,,
1745,,,,,,,34,10.2,2.4,2.6,,,1,,1,,,,,,,,,,bladelet,,,punctiform,,,,,
1770,,,,,,,20,12.3,2.2,2.5,,,,,,,,,,,,,,,bladelet-pro,,,indent,,,,,
1773,,,,,,,18.8,19.4,2.7,,,,,,,,,,,,,,,,flake,,,indent,,,,,
1762,,,,,,,24.5,8.4,3,,,,,,1,,,,,,,,,,bladelet-pro,,,indent,,,,,
1757,,,,,,,25.1,13.2,3.7,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1811,,,,,,,19.7,9.2,3,3.5,,,,,1,,,,,,,,,,bladelet-pro,,,dihedral,,,,lip,
1775,,,,,,,14.3,3.3,2,,,,,,,,,,,,,,,,bladelet-pro,,,broken,,,,,
1815,,,,,,,21.1,10.3,3,,,,,inverse notch,,1,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1812,,,,,,,14.3,8.5,2.2,2.6,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1749,,,,,,,16,10,2.2,2.4,,,,,,,,,,,,,,,bladlet-pro,,,linear,,,,,
1863,,,,,,,18,7,2,2.1,,,,,1,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1729,,,,,,,22.7,24,6.5,,,,,,,,,direct/scale,rightdistal,continous,short,low,sub-parallel,,flake,,,,,,,,
1677,,,,,,,57,10,2.6,2.9,,,,,,,,,,,,,,,bladelet,,,linear,,,,,
1679,,,,,,,33,9.1,4.1,,,,,,,,,,,,,,,,bladelet-mid,,,linear,,,,,
1626,tp1/45,,,,10,,50,22,12,,,,,,,,,,,,,,,,blade,,,cortical,,,,,
1627,,,,,30,,46,32.4,7.6,9.6,,,,,,,,,,,,,,,flake,,,cortical,,,,,
1637,,,,,,,30,24,10,,,,,,,,,,,,,,,,flake,,,dihedral,,,,,
1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,,,,,,,24,16,5.2,,,,,,,,1,direct,right,partial,short,low,sub-parallel,,flake,,,linear,,,,,
1619,,,,,,,20,6.5,2.2,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1618,,,,,25,,36,16.9,10,,,,,,,,1,inverse,left,continous,short,low,sub-parallel,,flake,,,cortical,,,,,
1632,,,,,,,27,9.6,3,,,,,,1,,,,,,,,,,bladelet-pro,,,linear,,,,,
1628,,,,,,,17.4,12.5,2.3,,,,,,,,,,,,,,,,flke-mid,,,,,,,fossil,
1622,,,,,,,18.4,12.4,4.6,,,,,,,,,,,,,,,,flake,,,,,,,,
1621,,,,,,,26,10,5,5.2,,,,,,,1,direct,right,discontinos,short,low,sub-parallel,,,,,,,,,,
1620,,,,,,,21.4,14,4.2,,,,,,1,,,,,,,,,,blade-mid,,,,,,,,
1624,,,,,,,16,7.3,3,,,,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1629,,,,,,,24,9.8,3.3,3.4,,,,double notch,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1659,tp1/56,,,,,,34,30,7.8,,,,,,,,,,,,,,,,flake,,,faceted,,,,,
1651,,,,,5,,38,36,8.5,,,,,,,,,,,,,,,,flke,,,,,,,,
1653,,,,,50,,33.9,36.1,,,,,,primary flake,,,1,inverse,,partial,,,sub-parallel,,flake,,,,,,,,
1652,,,,,,,37,14,7.2,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,47,12.3,3.4,,,,,,,,,,,,,,,,bladelet-pro,,,,,,,,
1656,,,,,,,16,6,2.5,,,,,,,,1,direct,right-left,continous,short,low,sub-parallel,,,,,,,,,,
1658,,,,,,,20.3,7.5,2.8,,,,,,,,,,,,,,,,bladelet-pro,,,partialy broken,,,,,
1660,,,,,,,24,20,5,,,,,debri,,,,,,,,,,,flake,,,,,,,,
1654,,,,,,,13.9,13,5.2,,,,,,,,,,,,,,,,flake,,,,,,,,
1681,tp1/91,,,,,,31.6,11,3,,,,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1684,,,,,,,26,8,2.9,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1682,,,,,,,25.5,5.7,2.3,,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1683,,,,,,,31,11.3,2.6,,,,,,1,,,,,,,,,1,bladelet-pro,,,linear,,,,,
1675,tp1/112,,,,,,22.3,15.6,2.3,,,,,,,,,,,,,,,,blade-mid,,,,,,,,
1674,,,,,,,18.4,13.4,2.8,,,,,,1,,,,,,,,,1,blade-mid,,,,,,,adhesive,
1676,,,,,,,30.1,10.5,2.7,,,,,,1,,,,,,,,,1,bladelet-mid,,,,,,,burnt,
1646,tp1/34,,,,10,,47,14.5,10,,,,,core preparation,,,,,,,,,,,falke-blade,,,punctiform,,,,,
1641,,,,,85,,42,53,18,,,,,core preparation,,,,,,,,,,,flake,,,plain,,,,,
1646,,,,,,,18,11,5,,,,,,,,,,,,,,,,flake,,,plain,,,,,
1644,,,,,,,25.5,13.5,6.2,,,,,,,,,,,,,,,,flake,,,punctiform,,,,,
1639,,,,,10,,55,24,14,,,,,,1,,,,,,,,,,flake,,,cortical,,,,,
1665,tp1/124,,,,,,34,24,8.3,,9.7,8.7,,,,,,,,,,,,,flake,,,plain,,,,,
1666,,,,,,,36.5,10.2,2.7,2.9,,,,pointed convergent scraper on bladelet,,,1,direct,right-left,continous,short,low,sub-parallel,,bladelet,,,punctiform,,,,lip,
1667,,,,,,,27.3,8.4,1.2,1.3,,,,trie?,,1,,,,,,,,,bladelet-pro,,,linear,,,,,
1668,,,,,,,18,6,1.2,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1608,tp1/2,,,,,,18.5,7.4,2.3,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1607,,,,,,,23,13.6,2.4,,,,,debri,,,,,,,,,,,,,,,,,,,
1606,,,,,,,27.8,7.6,2.6,,,,,debitage,,,,,,,,,,,bladelet,,,broken,,,,,
1611,,,,,,,41.5,12,3.4,3.8,,,1,,,,1,direct,right-left,continous,short,low,sub-parallel,,bladelet,,,punctiform,,,,,
1609,,,,,,,38,18,12,,,,,core preparation,,,,,,,,,,,flake,,,plain,,,,,
1612,,,,,,,33.3,8.7,2.7,,,,,,1,,,,,,,,,,bladelet-dis,,,,,,,,
1610,,,,,,,55,11,2.6,,,,,burin?,,,1,direct,right-left,continous,short,semi-abrut,sub-parallel,,bladelet-pro,,,linear,,,,,
1508,tp1/51,,,,,,24,13,1.5,1.8,6.4,1.3,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1495,,,,,,,26.3,9.1,1.8,2,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,lip/adhesive,
1496,,,,,,,18.5,7.6,2.1,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1511,,,,,,,17,12.5,2.2,2.7,3.7,1.2,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1497,,,,,,,17,11,2.3,,,,,,,,,,,,,,,,bladelet-pro,,,inear,,,,,
1494,,,,,,,24.8,10,2.2,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1499,,,,,,,16.2,8.8,2.1,2.4,3.7,0.8,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1493,,,,,,,26,8.8,2,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1500,,,,,,,28,11.8,2.8,3.2,,,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1504,,,,,,,35,11.2,1.8,2.2,,,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,lip,
1501,tp1/57,,,,,,28,9.2,2.8,2.9,2.1,0.6,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1505,,,,,,,30,5.1,1.3,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1512,,,,,,,21.4,5.3,2.5,,,,,,,,1,alternating,right-left,continous,short,semi-abrupt,sub-parallel,,bladelet-mid,,,,,,,,
1502,,,,,,,16,12,1.9,2.4,,,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1503,,,,,,,19.5,6.3,2.1,,,,,,,,,,,,,,,,bladelet-dis,,,,,,,,
1507,,,,,,,24,7.1,1.2,,3.8,0.7,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1510,,,,,,,26,6.9,1.4,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
1498,,,,,,,18.7,8.4,2.2,,4,1.3,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1492,,,,,,,20,7.5,1.9,,2.3,1.1,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1509,,,,,,,19.7,8.8,1.8,2.2,4.2,1.7,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1506,,,,,,,16,7,2.2,2.3,4,0.5,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1518,,,,,,,56.2,13.7,3.4,3.6,3.7,0.5,,,,,1,inverse,left,partial,short,low,sub-parallel,,bladelet-pro,,,linear,,,,,
1514,,,,,,,32,13,4.4,,,,,,1,,,,,,,,,,bladelet-dis,,,,,plunging,,,
1534,,,,,50,,40,34,12.7,,,,,primary flake,,,,,,,,,,,flake,,,cortical,,,,,
1524,,,,,,,26,3.9,3.5,,4,1.1,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1522,,,,,,,29,14,2.9,3.1,4.4,1.7,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1538,,,,,,,32,11.6,2.8,3,,,,,,,,,,,,,,,bladelet-pro,,,partialy removed,,,,,
1540,,,,,,,31.6,8,2.4,,2.2,0.9,,,,,,,,,,,,,bladelet-pro,,,punctiform,,,,,
1516,,,,,,,41.2,8.8,1.7,1.8,,,,,,,,,,,,,,,bladelet,,,linear,,,,,
1520,,,,,,,36,11.8,2.9,,3,1,,,,,,,,,,,,,bladelet-pro,,,linear,,,,,
1515,,,,,,,25,11.2,2.2,,,,,,,,,,,,,,,,bladelet-mid,,,,,,,,
