Lithic ID,TA,AREA,DEPTH (cm),Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number
308,56,A,50-60,,,,0,,22.3,10.5,2.4,3,3.1,1.7,0,,0,0,,,,,,,0,BLADELET- PRO,,,?,,,,,
371,56,A,50-60,,,,0,,26.4,10.8,2.3,2.4,,,0,,0,0,,,,,,,0,BLADELET,,,LINEAR,,,,,
342,56,A,50-60,,,,0,,39.8,11.3,2.9,3,4.2,1.2,0,,1,0,,,,,,,0,BLADELET,,,PLAIN,,,,,
314,56,A,50-60,,,,0,,34.2,12.8,3,4,4.4,1.4,0,,0,0,,,,,,,0,BLADELET,,,PLAIN,,,,,
425,56,A,50-60,,,,0,,18,9.6,2.2,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,
396,56,A,50-60,,,,0,,14.5,10.8,2.4,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,
322,56,A,50-60,,,,0,,22.5,9.4,2.5,,,,,,0,0,,,,,,,,BLADELET- DIS,,,,,,,,
266,56,A,50-60,,,,0,,28.4,8.1,2.2,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,
392,56,A,50-60,,,,0,,16,8.1,2,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,
415,56,A,50-60,,,,0,,16.9,6.6,1.9,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,
367,56,A,50-60,,,,0,,11.5,11.3,1.5,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,
385,56,A,50-60,,,,0,,20.3,8.7,2.1,2.2,5.9,2,1,,1,0,,,,,,,0,BLADELET- PRO,,,FACETTED,,,,,
384,56,A,50-60,,,,0,,11.4,4.7,0.9,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,
305,56,A,50-60,,,,20,,35.3,13.8,3.6,4,2.5,1.4,0,,0,0,,,,,,,0,BLADELET- ?,,,PUNCTIFORM,,,,,
389,56,A,50-60,,,,0,,16.1,9.3,1.8,,,,,,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,BLADELET- MED,,,,,,,,
388,56,A,50-60,,,,0,,23.7,12.1,4.3,,,,,,1,0,,,,,,,0,BLADELET-  DIS,,,,,,,,
301,56,A,50-60,,,,0,,28.2,12,3,3.8,3.1,1.4,,,1,0,,,,,,,0,BLADELET- PRO,,,PLAIN,,,,,
316,56,A,50-60,,,,0,,19.3,9.8,2.1,,,,,,1,0,,,,,,,0,BLADELET- MED,,,,,,,,
420,56,A,50-60,,,,0,,19.6,7,1.5,1.6,,,0,,1,0,,,,,,,0,BLADELET- PRO,,,LINEAR,,,,,
407,56,A,50-60,,,,0,,20.7,7.6,3.2,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,
419,56,A,50-60,,,,0,,21.1,10.8,1.5,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,
431,56,A,50-60,,,,0,,29.8,9.8,2.5,2.9,3.2,1.6,1,,1,1,INVERSE,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,BLADELET,,,LINEAR,,,,,
